Tipo_Servicio,Destino,Duracion,Precio_Total_USD,Incluye,Requiere_Visa
Paquete,México Histórico,5 días / 4 noches,850,Vuelo + Hotel 4* + Desayunos + Tour a las Pirámides de Teotihuacán,Sí
Vuelo,Ciudad de México,Solo Vuelo,400,Vuelo directo Lima-Ciudad de México (Ida y Vuelta),Sí
Tip_Viaje,México,N/A,0,Prueba los auténticos tacos al pastor y viaja en el metro que es muy económico y rápido.,Sí
Paquete,Bogotá Cultural,4 días / 3 noches,550,Vuelo + Hotel 4* + Ascenso a Monserrate + Tour por La Candelaria,No
Vuelo,Bogotá,Solo Vuelo,250,Vuelo directo Lima-Bogotá (Ida y Vuelta),No
Tip_Viaje,Colombia,N/A,0,Lleva abrigo porque el clima es frío y cambiante a pesar de ser Sudamérica. El café es imperdible.,No
Paquete,Santiago y Viñedos,5 días / 4 noches,650,Vuelo + Hotel 4* + Tour a viñedos de Concha y Toro con cata,No
Vuelo,Santiago de Chile,Solo Vuelo,220,Vuelo directo Lima-Santiago (Ida y Vuelta),No
Tip_Viaje,Chile,N/A,0,El metro de Santiago es excelente. No dejes de probar el clásico pastel de choclo y sus empanadas.,No
Paquete,Cartagena Encantadora,5 días / 4 noches,820,Vuelo + Hotel Boutique + Tour por la Ciudad Amurallada y Castillo,No
Vuelo,Cartagena,Solo Vuelo,350,Vuelo Lima-Cartagena (Ida y Vuelta) directo,No
Tip_Viaje,Cartagena,N/A,0,El clima es muy cálido todo el año. Disfruta de una caminata nocturna por las calles coloniales.,No
Paquete,Arequipa y Colca,4 días / 3 noches,320,Vuelo + Hotel 3* + Traslados + Tour de 2 días al Cañón del Colca,No
Vuelo,Arequipa,Solo Vuelo,80,Vuelo directo Lima-Arequipa (Ida y Vuelta) low cost,No
Tip_Viaje,Arequipa,N/A,0,Toma mate de coca para evitar el mal de altura. Obligatorio comer en una picantería tradicional.,No
Paquete,Playas del Norte,4 días / 3 noches,450,Vuelo a Talara + Traslados a Máncora + Hotel frente al mar,No
Vuelo,Talara,Solo Vuelo,90,Vuelo directo Lima-Talara (Ida y Vuelta),No
Tip_Viaje,Máncora,N/A,0,Lleva mucho bloqueador solar. Es un destino ideal para el surf y comer el mejor ceviche de mero.,No
Paquete,Selva Amazónica,4 días / 3 noches,480,Vuelo + Lodge Todo Incluido + Tours en bote y caminatas guiadas,No
Vuelo,Iquitos,Solo Vuelo,110,Vuelo directo Lima-Iquitos (Ida y Vuelta),No
Tip_Viaje,Iquitos,N/A,0,Usa repelente constantemente y viste ropa ligera. Visita el centro de rescate de manatíes.,No
Paquete,Japón Fascinante,10 días / 9 noches,3500,Vuelo + Hotel 3* + Japan Rail Pass de 7 días + Tour en Tokio,Sí
Vuelo,Tokio,Solo Vuelo,1800,Vuelo Lima-Tokio (Ida y Vuelta) con 2 escalas,Sí
Tip_Viaje,Japón,N/A,0,La primavera (marzo-abril) es ideal para ver los cerezos. La cultura del respeto y el silencio en el tren es primordial.,Sí
Paquete,Lujo en Dubai,7 días / 6 noches,2800,Vuelo + Hotel 5* + Desayunos + Safari en el desierto con cena beduina,Sí
Vuelo,Dubai,Solo Vuelo,1400,Vuelo Lima-Dubai (Ida y Vuelta) con 1 escala,Sí
Tip_Viaje,Emiratos Árabes,N/A,0,Evita viajar en verano por el calor extremo. Para subir al Burj Khalifa debes comprar tu entrada con meses de anticipación.,Sí
